Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
871,1808,10/29,Sat,n,"P3C1,P2C4","Gulnare, ou l'Esclave persane",Saint-Pierre,10/30/1808,2,Marsollier,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
899,1809,2/4,Sat,n,P3C2,"Gulnare, ou l'Esclave persane",Saint-Pierre,2/5/1809,,,opéra,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
925,1809,5/6,Sat,n,P3C1,"Gulnare, ou l'Esclave persane",Saint-Pierre,5/7/1809,,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1114,1811,2/2,Sat,n,P3C1,"Gulnare, ou l'Esclave persane",Saint-Philippe,2/2/1811,2,,opéra,1,y,Mr. Valois,musique de Daleyrac,,,,"""L'annecdote qui a fourni le sujet de la première pièce est tirée des causes célèbres, & présente un intérêt fait pour exciter la curiosité du Public""",,,,,,,,,,,,,,,,,,
1192,1811,8/3,Sat,,P3C2,"Gulnare, ou l'Esclave persane",Saint-Philippe,8/4/1811,2,,Opéra,1,n,,"musique de Daleyrac, orné de tout son spectacle",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,1806,1/18,Sat,,,L'Abbé de l'épée,Saint-Pierre,1/21/1806,1,Bouilly,drame,5,y,Mlle Fleury ainée,,,,,,,,,,,,,,,,,,,,,,,
583,1806,1/25,Sat,,,L'Abbé de l'épée,Saint-Pierre,1/26/1806,2,Bouilly,drame,5,,,,,,,deuxième,,,,,,,,,,,,,,,,,,
605,1806,4/12,Sat,,,L'Abbé de l'épée,Saint-Pierre,4/13/1806,,Bouilly,drame,5,,,,,,,"starting today, show starts at 7 pm sharp",,,,,,,,,,,,,,,,,,
646,1806,8/27,Wed,,,L'Abbé de l'épée,Saint-Pierre,8/29/1806,,,,,y,M. St.-Just,,,,,originally 8/26; postponed due to actor illness,,,,,,,,,,,,,,,,,,
705,1807,3/28,Sat,n,P2C2,L'Abbé de l'épée,Saint-Pierre,3/29/1807,,,Drame,5,n,,,,,,en prose,,,,,,,,,,,,,,,,,,
713,1807,4/25,Sat,n,P3C1,L'Abbé de l'épée,Saint-Pierre,4/26/1807,,,,,n,,,Mm. Laurette,n,Ciémence,rentrée au theâte,,,,,,,,,,,,,,,,,,
815,1808,4/16,Sat,n,"P3C1, P3C1",L'Abbé de l'épée,Saint-Philippe,4/19/1808,1,Bouilly,comédie,5,y,Mlle. Fleury jeune,,"Mlle. Fleury aînée, Mr. Plessy, M. Auguste","y, y, y","Jules, Franval, St.-Alme","première représentation, Jules is listed as deaf and mute; originally advertised for 4/18, with a prologue pice that has disappeared; same performance/still première with same announcement from Fleury june",,,,,,,,,,,,,,,,,,
848,1808,8/10,Wed,n,"P3C1,P2C4",L'Abbé de l'épée,Saint-Pierre,8/11/1808,,Bouilly,comédie historique,5,y,M. Ferrand,,,,,"Bouilly referred to as ""membre de la société philotechnique"", author listed as ""Mr. Bouilly""",,,,,,,,,,,,,,,,,,
