Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,1809,11/8,Wed,n,P2C3,Ma Tante Aurore ou le Roman Impromptu,Saint-Pierre,11/9/1809,2,,opéra nouveau,2,y,M. Bazile,musique de Boeldieu,,,,"""sans remise,"" The benefit on 10/31 is suspended due to the indisposition of an actor, and will be rescheduled, ""Incessament, les débuts de Madame LARUE""",,,,,,,,,,,,,,,,,,
984,1809,11/29,Wed,n,P3C1,Ma Tante Aurore ou le Roman Impromptu,Saint-Pierre,11/30/1809,1,,opéra,2,y,M. Foucher,musique de Boëldieu,,,,,,,,,,,,,,,,,,,,,,
991,1809,12/23,Sat,n,P3C1,Ma Tante Aurore ou le Roman Impromptu,Saint-Pierre,12/25/1809,2,,opéra,2,n,,musique de Boeldieu,,,,,,,,,,,,,,,,,,,,,,
1008,1810,2/21,Wed,n,P3C3,Ma Tante Aurore ou le Roman Impromptu,Saint-Pierre,2/22/1810,2,,opéra,2,n,,musique de Boieldieu,,,,,,,,,,,,,,,,,,,,,,
1113,1811,1/31,Thurs,n,P3C2,Ma Tante Aurore ou le Roman Impromptu,Saint-Philippe,1/31/1811,2,,opéra,2,n,,musique de Boieldieu,,,,,,,,,,,,,,,,,,,,,,
1150,1811,4/27,Sat,n,P3C2,Ma Tante Aurore ou le Roman Impromptu,Saint-Philippe,4/28/1811,2,,opéra,2,n,,musique de Boeldieu,M. Tabary,n,George,,,,,,,,,,,,,,,,,,,
1299,1812,4/9,Thurs,n,P2C4,Ma Tante Aurore ou Le Roman Inpromptu,Saint-Philippe,4/9/1812,2,Boëldieu,Opéra,2,n,,,,,,,,,,,,,,,,,,,,,,,,
1302,1812,4/16,Thurs,n,P2C4,Ma Tante Aurore ou Le Roman Inpromptu,Saint-Philippe,4/16/1812,2,Boëldieu,Opéra,2,n,,,,,,,,,,,,,,,,,,,,,,,,
1215,1811,9/26,Thurs,n,P3C1,"Ma Tante Aurore, ou le Roman Imprmptu",Saint-Philippe,9/26/1811,2,Boëldieu,Opéra,2,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,1808,11/2,Wed,n,P3C1,Maris Garçons,Saint-Pierre,11/3/1808,2,,Opéra Nouveau,1,y,la Direction,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
875,1808,11/12,Sat,n,P3C1,Maris Garçons,Saint-Pierre,11/13/1808,2,,opéra,1,n,,musique de Grétry,,,,seconde représentation,,,,,,,,,,,,,,,,,,
887,1808,12/24,Sat,n,P3C2,Maris Garçons,Saint-Pierre,12/25/1808,2,,opéra,1,n,,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
917,1809,4/8,Sat,n,P3C2,Maris Garçons,Saint-Pierre,4/9/1809,,,opéra,1,n,,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
931,1809,5/27,Sat,n,P2C4,Maris Garçons,Saint-Pierre,5/28/1809,,,opéra,1,n,,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
985,1809,12/2,Sat,n,P2C4,Maris Garçons,Saint-Pierre,12/3/1809,2,,opéra,1,n,,,Mr. Rochefort,n,Florville,these performances will begin at 6:30 precisely,,,,,,,,,,,,,,,,,,
1023,1810,4/14,Sat,n,P3C2,Maris Garçons,Saint-Pierre,4/15/1810,2,,opéra,1,n,,musique de Le Breton,,,,,,,,,,,,,,,,,,,,,,
1073,1810,10/6,Sat,n,P3C3,Maris Garçons,Saint-Pierre,10/7/1810,2,,opéra comique,1,n,,musique de Berton,,,,"changed from Mercure Galant, advertised in the previous issue",,,,,,,,,,,,,,,,,,
1123,1811,2/23,Sat,n,P2C4,Maris Garçons,Saint-Philippe,2/23/1811,2,…,opéra,1,y,Mr. St. Just,musique de …,"M. August, M. St. Martin, M. Daudet, Mdme. Laurette, Mdme. Fleury, Mdme. Brunet","n, n, n, n, n, n","Unlisted, Unlisted, Unlisted, Unlisted, Unlisted, Unlisted","Fleury is spelled ""Fleuri""",,,,,,,,,,,,,,,,,,
1225,1811,10/19,Sat,n,P3C1,Maris garçons,Saint-Philippe,10/20/1811,2,,opéra comique,1,n,,musique de Berton,M. St.-Martin,,Edmont,,,,,,,,,,,,,,,,,,,
1321,1812,5/30,Sat,n,"P3C3, P3C4",Maris Garçons,Saint-Philippe,5/31/1812,2,,opéra,,n,,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
1324,1812,6/6,Sat,,P3C4,Maris Garçons,Saint-Philippe,6/7/1812,1,,Opéra,,n,,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
1397,1812,11/26,Thurs,n,P3C1,Maris garçons,Saint-Philippe,11/26/1812,2,,opéra,1,,,musique de Berton,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,1808,6/18,Sat,n,"P3C1,P2C3","Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Philippe,6/18/1808,1,,Comédie,3,y,Mme. Brunet,,,,,originally advertised for 6/14,,,,,,,,,,,,,,,,,,
836,1808,6/29,Wed,n,"P3C3,P3C2","Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Philippe,6/29/1808,,Alexandre Duval,Comédie,3,n,,,,,,"author listed as ""Duval""",,,,,,,,,,,,,,,,,,
857,1808,9/10,Sat,n,"P3C1,P3C2","Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Pierre,9/11/1808,1,Alexandre Duval,comédie,3,n,,,,,,,,,,,,,,,,,,,,,,,,
873,1808,11/5,Sat,n,P3C2,"Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Pierre,11/6/1808,1,Korzebue,comédie,3,n,,,,,,"""du Théâtre de Korzebue""",,,,,,,,,,,,,,,,,,
900,1809,2/8,Wed,n,P3C1,"Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Pierre,2/10/1809,,Alexandre Duval,comédie historique,3,n,,,,,,,,,,,,,,,,,,,,,,,,
995,1810,1/6,Sat,n,P3C4,"Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Pierre,1/7/1810,1,Alexandre Duval,comédie,3,n,,,,,,,,,,,,,,,,,,,,,,,,
997,1810,1/13,Sat,n,P3C3,"Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Pierre,1/14/1810,1,Alexandre Duval,comédie,3,n,,,,,,"identical ad from the previous week, in the absence of other evidence suggest keeping both as Sunday performances",,,,,,,,,,,,,,,,,,
1096,1810,12/22,Sat,n,P3C2,"Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Philippe,12/23/1810,1,Picard,comédie,3,n,,,,,,includes a note that the spectacle was changed because Mlle Laurette is indisposed,,,,,,,,,,,,,,,,,,
1398,1812,11/28,Sat,n,P2C4,"Menuisier de Livonie, ou Les Illustres Voyageurs",Saint-Philippe,11/29/1812,1,Duval,comédie,3,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,1806,2/22,Sat,,,Richard Cœur de Lion,Saint-Pierre,2/25/1806,2,,opéra,,y,M. Deperville,,,,,"orné de tout son spectacle; ""un amateur connu dansera l'Anglaise à la scène de la noce""",,,,,,,,,,,,,,,,,,
661,1806,10/25,Sat,n,P2C4,Richard Cœur de Lion,Saint-Pierre,10/26/1806,,,,,n,,,Madlle. Joséphine,,Antonio,"""Le second début de Madlle. Joséphine dans le rôle d'ANTONIO""; This is the same performance as the one mentioned in issue 660",,,,,,,,,,,,,,,,,,
723,1807,5/30,Sat,n,P2C4,Richard Cœur de Lion,Saint-Pierre,5/31/1807,,,opéra,3,n,,musique de Grérry,Mlle. Fleury,n,Laurette,"""orné de tout son Spectacle""; Mlle. Fleury would be returning to theatre to fulfill this role",,,,,,,,,,,,,,,,,,
794,1808,2/3,Wed,n,"P2C3,P2C3",Richard Cœur de Lion,Saint-Philippe,2/3/1808,,,Opéra,3,n,,musique de Grétry,Mr. Francisqui,n,dansera les premières entrées du ballet,,,,,,,,,,,,,,,,,,,
813,1808,4/9,Sat,n,"P3C2,P3C1",Richard Cœur de Lion,Saint-Philippe,4/9/1808,,,opéra,3,n,,M. Fransicqui dansera les principales entrées,,,,Francisqui dansera les principales entrées,,,,,,,,,,,,,,,,,,
874,1808,11/9,Wed,n,P3C1,Richard Cœur de Lion,Saint-Pierre,11/10/1808,2,,opéra,3,n,,,Mlle. Eugénie Fleury,n,Antonio,,,,,,,,,,,,,,,,,,,
909,1809,3/11,Sat,n,P3C1,Richard Cœur de Lion,Saint-Pierre,3/12/1809,,,opéra,3,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
945,1809,7/15,Sat,n,P2C2,Richard Cœur de Lion,Saint-Philippe,7/16/1809,,,opéra,3,y,Mme. Brunet,musique de Grétry,unlisted,y,unlisted,"The ad says that the performance will be ""après le Feu d'Artifice"" (after the fireworks), no mention of why there are fireworks",,,,,,,,,,,,,,,,,,
973,1809,10/21,Sat,n,P3C1,Richard Cœur de Lion,Saint-Pierre,10/22/1809,2,,opéra,3,n,,,,,,,,,,,,,,,,,,,,,,,,
1042,1810,6/20,Wed,n,P3C2,Richard Cœur de Lion,Saint-Pierre,6/21/1810,2,,opéra,3,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
1137,1811,3/28,Thurs,n,P3C3,Richard Cœur de Lion,Saint-Philippe,3/28/1811,2,,opéra,3,n,,,,,,"""décorations nouvelles, changements à vue"", ad says ""Jeudi prochain, 28 Mars 1811"" but that is the date of publication",,,,,,,,,,,,,,,,,,
1203,1811,8/29,Thurs,,P2C4,Richard Cœur de Lion,Saint-Philippe,8/29/1811,1,,Opéra,3,n,,Musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,1808,6/18,Sat,n,"P3C1,P2C3",Secret,Saint-Philippe,6/18/1808,2,,opéra,1,y,Mme. Brunet,,unlisted,y,Valère,,,,,,,,,,,,,,,,,,,
835,1808,6/25,Sat,n,"P3C2,P3C1",Secret,Saint-Philippe,6/26/1808,2,,opéra,1,n,,,M. Tabary,n,Valère,"""Le rôle de Valère, dans cet opéra, n'ayant été rempli par un Amateur qu'accidentellement, sera joué par M. Tabary""",,,,,,,,,,,,,,,,,,
855,1808,9/3,Sat,n,"P3C2,P3C2",Secret,Saint-Pierre,9/4/1808,2,,opéra,1,n,,musique de Solié,,,,,,,,,,,,,,,,,,,,,,
867,1808,10/15,Sat,n,P3C1,Secret,Saint-Pierre,10/16/1808,2,,Opéra Nouveau,,n,,,,,,,,,,,,,,,,,,,,,,,,
885,1808,12/17,Sat,n,P2C4,Secret,Saint-Pierre,12/18/1808,2,,opéra,1,n,,musique de Solier,,,,,,,,,,,,,,,,,,,,,,
913,1809,3/25,Sat,n,P3C2,Secret,Saint-Pierre,3/26/1809,,,opéra,1,n,,musique de Solié,,,,,,,,,,,,,,,,,,,,,,
941,1809,7/1,Sat,n,P2C4,Secret,Saint-Philippe,7/2/1809,,Offman,Opéra,1,n,,musique de Sulié,,,,,,,,,,,,,,,,,,,,,,
995,1810,1/6,Sat,n,P3C4,Secret,Saint-Pierre,1/6/1810,2,,opéra,1,n,,musique de Solié,,,,"advertised as on ""Saturday 6, Day of the Kings"" (Feast of the Epiphany), rather than as ""later today""",,,,,,,,,,,,,,,,,,
1101,1811,1/3,Thurs,n,P3C3,Secret,Saint-Philippe,1/3/1811,2,,opéra,1,n,,musique de Solier,,,,,,,,,,,,,,,,,,,,,,
1176,1811,6/27,Thurs,n,P3C1,Secret,Saint-Philippe,6/27/1811,2,,opéra,1,n,,musique de Solité,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,1807,5/9,Sat,n,P3C1,Sylvain,Saint-Pierre,5/10/1807,2,,opéra,,n,,,Mlle Julienne Drigny,n,Lucette,,,,,,,,,,,,,,,,,,,
739,1807,7/25,Sat,n,P3C2,Sylvain,Saint-Pierre,7/26/1807,2,,Opéra,,n,,,,,,,,,,,,,,,,,,,,,,,,
839,1808,7/9,Sat,n,"P3C4,P3C3",Sylvain,Saint-Philippe,7/10/1808,2,,opéra,1,n,,musique de Grétry,Mr. Auguste,y,Bazile,"Additional pieces will be announced on posters, ""Le spectacle sera announcé dans les affiches du jour""",,,,,,,,,,,,,,,,,,
857,1808,9/10,Sat,n,"P3C1,P3C2",Sylvain,Saint-Pierre,9/11/1808,2,,opéra,1,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
875,1808,11/12,Sat,n,P3C1,Sylvain,Saint-Pierre,11/12/1808,2,,opéra,,y,Mademoiselle Eugénie Fleury,musique de Grétry,Mlle. Eugénie Fleury,n,Lucette,demandé par le Public,,,,,,,,,,,,,,,,,,
916,1809,4/5,Wed,n,P3C4,Sylvain,Saint-Pierre,4/6/1809,,,opéra,,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
986,1809,12/6,Wed,n,P3C1,Sylvain,Saint-Pierre,12/7/1809,2,,opéra,1,n,,musique de Grétry,,,,"""Mdme. La Rue etant indisposee"" her second debut will be 12/14/1809",,,,,,,,,,,,,,,,,,
995,1810,1/6,Sat,n,P3C4,Sylvain,Saint-Pierre,1/7/1810,2,,opéra,1,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
997,1810,1/13,Sat,n,P3C3,Sylvain,Saint-Pierre,1/14/1810,2,,opéra,1,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
1049,1810,7/14,Sat,n,P3C4,Sylvain,Saint-Pierre,7/15/1810,2,,opéra,1,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
1095,1810,12/20,Thurs,n,P3C1,Sylvain,Saint-Philippe,12/20/1810,1,,opéra,1,n,,musique de Grétry,,,,"Similar notes: ""Pour L'Overture du Théâtre on commencera par parlez pour nous,"" however the performances were changed due to ""l'indisposition de Mlle. Laurette""",,,,,,,,,,,,,,,,,,
1140,1811,4/4,Thurs,n,P3C2,Sylvain,Saint-Philippe,4/4/1811,2,,opéra,1,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
1221,1811,10/10,Thur,n,P2C4,Sylvain,Saint-Philippe,10/10/1811,2,Musique de Grétry,Opéra,1,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,1807,5/9,Sat,n,P3C1,Une Folie,Saint-Pierre,5/12/1807,1,,opéra,2,y,M. Douvillier,musique de Méhul,,,,"premiére representation; ""n'a jamais été représenté en cette ville"", never been performed in the city before; ""paroles de Bouilly auteur de l'Abbé de l'Epée""",,,,,,,,,,,,,,,,,,
719,1807,5/16,Sat,n,P2C3,Une Folie,Saint-Pierre,5/17/1807,2,,opéra,2,n,,,,,,opéra nouveau,,,,,,,,,,,,,,,,,,
721,1807,5/23,Sat,n,P2C4,Une Folie,Saint-Pierre,5/26/1807,2,M. Boully,opéra,,n,,musique de Méhul,Mr. Auguste,n,Florival,la seconde representation; opéra nouveau; note regarding the director's reassurance that the audience will be satisfied by the performance & nothing but pleasant,,,,,,,,,,,,,,,,,,
727,1807,6/13,Sat,n,P2C3,Une Folie,Saint-Pierre,6/14/1807,,Bouilly,Opéra,2,n,,Musique de Méhul,,,,"troisième représentation; ""a été demandé par plusieur abonnés""",,,,,,,,,,,,,,,,,,
740,1807,7/29,Wed,n,P2C3,Une Folie,Saint-Pierre,7/30/1807,1,Boully & Méhul,Opéra,1,y,M. Deperville,,,,,,,,,,,,,,,,,,,,,,,
793,1808,1/30,Sat,n,"P3C1,P2C4",Une Folie,Saint-Philippe,1/30/1808,2,Bouilly,Opéra Comique,2,n,,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
827,1808,5/28,Sat,n,"P3C2,P3C1",Une Folie,Saint-Philippe,5/29/1808,2,Bouilly,opéra,2,n,,musique de Mehul,,,,,,,,,,,,,,,,,,,,,,
837,1808,7/2,Sat,n,"P3C2,P3C3",Une Folie,Saint-Philippe,7/3/1808,2,,opéra,2,n,,musique de Méhul,Mr. Auguste,y,Florival,,,,,,,,,,,,,,,,,,,
865,1808,10/8,Sat,n,P3C1,Une Folie,Saint-Pierre,10/9/1808,2,Bouilly,Opéra Nouveau,2,n,,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
891,1809,1/7,Sat,n,P3C1,Une Folie,Saint-Pierre,1/8/1809,,,opéra,1,n,,,,,,,,,,,,,,,,,,,,,,,,
961,1809,9/9,Sat,n,P2C4,Une Folie,Saint-Philippe,9/10/1809,2,,opéra,2,y,Mlle. Eugénie Fleury,musique de Mehul,Mr Tabary,n,Parrain Francisque,,,,,,,,,,,,,,,,,,,
987,1809,12/9,Sat,n,P3C1,Une Folie,Saint-Pierre,12/10/1809,2,,opéra,2,n,musique de Mehul,,,,,,,,,,,,,,,,,,,,,,,
1009,1810,2/24,Sat,n,P3C2,Une Folie,Saint-Pierre,2/25/1810,2,,opéra,2,n,,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
1037,1810,6/2,Sat,n,P3C3,Une Folie,Saint-Pierre,6/3/1810,2,,opéra,2,n,,musique de Méhul,,,,"Farewell performance for M. Tabary, who will be taking a short leave of absence",,,,,,,,,,,,,,,,,,
1129,1811,3/9,Sat,n,P3C1,Une Folie,Saint-Philippe,3/10/1811,2,,opéra,2,n,,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
1151,1811,4/30,Tues,n,P3C2,Une Folie,Saint-Philippe,4/30/1811,2,,opéra,2,y,Mlle. Eugénie Fleury,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
1253,1811,12/24,Tues,n,P3C1,Une Folie,Saint-Philippe,12/24/1811,1,,opéra,2,n,,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
1311,1812,5/7,Thurs,n,P3C2,Une Folie,Saint-Philippe,5/7/1812,2,,opéra,2,n,,musique de Méhul,,,,"The heading of this ad seems to have been misprinted and reads ""SPCTCLEAE"" instead of the usual ""SPECTACLE"", includes a note about the showing on 5/7/1812 being changed due to Mlle. Laurette being unwell",,,,,,,,,,,,,,,,,,
1401,1812,12/5,Sat,n,P3C4,Une Folie,Saint-Philippe,12/6/1812,2,,opéra,2,n,,musique de Méhul,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,1807,9/2,Wed,n,P3C1,Une heure de Mariage,Saint-Pierre,9/3/1807,2,M Erienne,Opéra Nouveau,1,n,,musique de M. Daleyrac,,,,"a note at the end saying this opera must be ranked among the best because of the freshness and charm of its music, and for its merit, première représentation",,,,,,,,,,,,,,,,,,
782,1807,12/23,Wed,n,P2C2,Une heure de Mariage,Saint-Pierre,12/23/1807,2,,Opéra,,y,Mr. St.-Martin,,,,,,,,,,,,,,,,,,,,,,,
789,1808,1/16,Sat,n,P3C1,Une Heure de Mariage,Saint-Pierre,1/17/1808,2,,opéra,,n,,musique de Daleyrac,,,,"ad on previous page annoucning the opening of the Théâtre de a rue Saint-Philippe, signed Louis Douvillier",,,,,,,,,,,,,,,,,,
800,1808,2/24,Wed,n,"P2C4,P2C4",Une heure de Mariage,Saint-Pierre,2/25/1808,2,,opéra,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
813,1808,4/9,Sat,n,"P3C2,P3C1",Une Heure de Mariage,Saint-Pierre,4/10/1808,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
868,1808,10/19,Wed,n,P3C1,Une Heure de Mariage,Saint-Pierre,10/20/1808,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
908,1809,3/8,Wed,n,P2C4,Une Heure de Mariage,Saint-Pierre,3/9/1809,,,opéra,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1011,1810,3/3,Sat,n,P3C3,Une Heure de Mariage,Saint-Pierre,3/4/1810,2,Etienne,opéra,1,n,,musique de Daleyrac,M. Ferrand,y,M. Demarce,Show changed from Le Tonnelier,,,,,,,,,,,,,,,,,,
1102,1811,1/5,Sat,n,P3C2,Une Heure de Mariage,Saint-Philippe,1/6/1811,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1141,1811,4/6,Sat,n,P3C1,Une Heure de Mariage,Saint-Philippe,4/7/1811,2,,opéra,1,n,,,,,,,,,,,,,,,,,,,,,,,,
1197,1811,8/15,Thurs,,P2C4,Une Heure de Mariage,Saint-Philippe,8/15/1811,2,,Opéra,1,n,,Musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1236,1811,11/14,Thurs,,P2C4,Une Heure de Mariage,Saint-Philippe,11/15/1811,2,,Opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,1805,12/21,Sat,,,Visitandines,Saint-Pierre,12/22/1805,2,,opéra,2,,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
598,1806,3/19,Wed,,,Visitandines,Saint-Pierre,3/20/1806,2,,opéra,2,,,,,,,,,,,,,,,,,,,,,,,,,
625,1806,6/21,Sat,,,Visitandines,Saint-Pierre,6/22/1806,2,,opéra,2,,,,,,,,,,,,,,,,,,,,,,,,,
652,1806,9/17,Wed,,,Visitandines,Saint-Pierre,9/18/1806,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,1806,11/12,Wed,n,P2C4,Visitandines,Saint-Pierre,11/13/1806,2,,Opéra,3,n,,,M. St. Just,n,Grégoire,Pour la rentrée de M. St. Just au theatre,,,,,,,,,,,,,,,,,,
722,1807,5/27,Wed,n,P3C1,Visitandines,Saint-Pierre,5/28/1807,2,,opéra,2,n,,,,,,,,,,,,,,,,,,,,,,,,
774,1807,11/25,Wed,n,P2C4,Visitandines,Saint-Pierre,11/26/1807,2,,Opéra,2,n,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
819,1808,4/30,Sat,n,"P2C4, P2C3",Visitandines,Saint-Pierre,5/1/1808,2,,opéra,2,n,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
844,1808,7/27,Wed,n,P3C1,Visitandines,Saint-Pierre,7/27/1808,2,,opéra,2,n,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
926,1809,5/10,Wed,n,P3C2,Visitandines,Saint-Pierre,5/11/1809,,,opéra,2,n,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
980,1809,11/15,Wed,n,P3C2,Visitandines,Saint-Philippe,11/16/1809,2,Picard,opéra,2,y,Mr. Foucher,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
1003,1810,2/3,Sat,n,P3C2,Visitandines,Saint-Pierre,2/4/1810,2,Picard,opéra,2,n,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
1155,1811,5/9,Thurs,n,P3C1,Visitandines,Saint-Philippe,5/9/1811,2,,opéra,2,n,,musique de Devienne,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
