work,original_genre,grouped_genre,year
"Fitz Henry, ou La Maison des Fous",drame,Drame,1809.0
"Fitz Henry, ou La Maison des Fous",drame,Drame,1809.0
"Fitz Henry, ou La Maison des Fous",drame,Drame,1810.0
"Fitz Henry, ou La Maison des Fous",mélodrame,Drame,1811.0
"Fitz Henry, ou La Maison des Fous",Comédie,Comedy,1811.0
Florian,Opéra-vaudeville,Opera-Vaudeville,1807.0
Florian,opéra,Opera-Vaudeville,1807.0
Florian,Opéra-vaudeville,Opera-Vaudeville,1808.0
Florian,,Opera-Vaudeville,1808.0
Florian,vaudeville,Opera-Vaudeville,1811.0
Folie et raison,Comédie,Comedy,1806.0
Folies amoureuses,Comédie,Comedy,1807.0
Folies Amoureuses,Comédie,Comedy,1808.0
Folies Amoureuses,comédie,Comedy,1808.0
Folies Amoureuses,comédie,Comedy,1810.0
Folies Amoureuses,comédie,Comedy,1811.0
Forêt d'Hermanstat ou La Fausse Épouse,mélo-drame,Drame,1809.0
Forêt d'Hermanstat ou La Fausse Épouse,mélo-drame,Drame,1809.0
Forêt d'Hermanstat ou La Fausse Épouse,mélo-drame,Drame,1809.0
"Forêt Périlleuse, ou Les Brigands de la Calabre",Mélo-drame,Drame,1807.0
"Forêt Périlleuse, ou Les Brigands de la Calabre",drame,Drame,1810.0
Français à Londres,comédie,Comedy,1810.0
Français à Londres,comédie,Comedy,1810.0
Français à Londres,comédie,Comedy,1810.0
Francs Juges ou les Temps de Barbarie,mélo-drame historique,Drame,1808.0
Francs Juges ou les Temps de Barbarie,Drame,Drame,1808.0
Francs Juges ou les Temps de Barbarie,historique,Drame,1809.0
Francs Juges ou les Temps de Barbarie,mélo-drame,Drame,1809.0
Francs Juges ou les Temps de Barbarie,drame,Drame,1810.0
Francs Juges ou les Temps de Barbarie,drame héroïque,Drame,1810.0
Frosine ou la derniere venue,vaudeville,Vaudeville,1806.0
Frosine ou la derniere venue,vaudeville,Vaudeville,1808.0
Gaston & Bayard,tragédie,Tragedy,1809.0
Général Moreau au tombeau de Turenne,fait historique,Other,1811.0
Geneviève de Brabant,Pièce historique,Other,1812.0
Gentil Bernard,Vaudeville,Vaudeville,1807.0
Gentil Bernard,Comédie,Comedy,1807.0
Gentil Bernard,vaudeville,Vaudeville,1808.0
Georges et Pauline,vaudeville nouveau,Vaudeville,1806.0
Georges et Pauline,vaudeville nouveau,Vaudeville,1806.0
"Georges Times, ou le Jockey-maître",vaudeville nouveau,Vaudeville,1805.0
Glorieux,comédie,Comedy,1808.0
Glorieux,Comédie,Comedy,1812.0
"Gonzalve de Cordoue, ou Le siège de Grenade",pièce héroïque,Other,1812.0
"Gonzalve de Cordoue, ou Le siège de Grenade",comédie héroïque,Comedy,1812.0
"Guerre Ouvert, ou Ruse Contre Ruse",Comédie,Comedy,1807.0
Guerre ouverte ou ruse contre ruse,comédie,Comedy,1806.0
Guerre Ouverte ou Ruse contre Ruse,comédie,Comedy,1810.0
Guerre Ouverte ou Ruse contre Ruse,comédie,Comedy,1811.0
Gulistan ou Le Hulla de Samarcande,opéra,Opera,1809.0
Gulistan ou Le Hulla de Samarcande,opéra,Opera,1809.0
"Gulistan, ou Hulla de Sanmarcande",Opéra,Opera,1811.0
