year,date,title,author
1750,1750-09-19,"Géta, tragédie","Péchantré, Nicolas de"
1750,1750-09-21,"De dood van sultan Selim, Turksen keizer; treurspel","Hoeven, Willem van der"
1750,1750-09-22,A lo que obligan los celos,"Enríquez Gómez, Antonio"
1750,1750-09-23,"Genevieve, ou l'Innocence reconnue","d'Aure, Francois"
1750,1750-09-24,El tejedor de Segovia,"Ruiz de Alarcón y Mendoza, Juan"
1750,1750-09-25,"Le Bélisaire, tragédie","Rotrou, Jean"
1750,1750-09-26,"Artaxare, tragédie","La Serre, Jean Louis Ignace de"
1750,1750-09-28,Don Quichot op de bruiloft van Kamácho; blyspel,"Langendijk, Pieter"
1750,1750-09-29,El palacio confuso,"Lope de Vega y Carpio, Félix"
1750,1750-09-29,El palacio confuso,"Mira de Amescua, Antonio"
1750,1750-09-29,El palacio confuso,"Lope de Vega y Carpio, Félix"
1750,1750-09-29,El palacio confuso,"Mira de Amescua, Antonio"
1750,1750-09-30,"Le grand Tamerlan et Bajazet, tragedie","Magnon, Jean"
1750,1750-09-30,La nueva ira de Dios y Tamerlán de Persia,"Vélez de Guevara, Luis"
1750,1750-10-01,Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1750,1750-10-01,Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1750,1750-10-03,"Arzases, of 't Edelmoedig verraad, treurspel","Huydecoper, Balthasar"
1750,1750-10-05,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-08,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-10,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-12,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-15,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-17,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-19,Medea [by Jan Vos],"Vos, Jan"
1750,1750-10-26,Le légataire universel,"Regnard, Jean François"
1750,1750-11-02,"De deugdzame hoveling, treurspel","Bruin, Claas"
1750,1750-11-07,"Attila, Roy des Huns","Corneille, Pierre"
1750,1750-11-09,Démocrite,"Regnard, Jean François"
1750,1750-11-14,"Beleazar, treurspel","Steenwijk, Frans van"
1750,1750-11-16,Grooten Robbert,"Rixtel, Pieter"
1750,1750-11-21,Amasis. Tragedie,"Lagrange Chancel, François Joseph de"
1750,1750-11-24,"Arminius, Beschermer der Duytsche Vryheid","Bernagie, Pieter"
1750,1750-11-28,"Achilles, treurspel","Huydecoper, Balthasar"
1750,1750-11-30,"Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750,1750-12-05,Polyxène,"La Fosse, Antoine de"
1750,1750-12-07,Le joueur,"Regnard, Jean François"
1750,1750-12-12,La mort de Néron; tragédie,"Péchantré, Nicolas de"
1750,1750-12-14,De verwaande Hóllandsche Franschman. Blyspél,"Pels, Andries"
1750,1750-12-14,De verwaande Hóllandsche Franschman. Blyspél,Nil Volentibus Arduum group
1750,1750-12-19,"Oedipe, tragedie","Corneille, Pierre"
1750,1750-12-21,Gysbreght van Aemstel,"Vondel, Joost van den"
1750,1750-12-21,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1750,1750-12-21,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1750,1750-12-28,Gysbreght van Aemstel,"Vondel, Joost van den"
1750,1750-12-28,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1750,1750-12-28,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1751,1751-01-04,Gysbreght van Aemstel,"Vondel, Joost van den"
1751,1751-01-04,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1751,1751-01-04,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1751,1751-01-09,Gysbreght van Aemstel,"Vondel, Joost van den"
1751,1751-01-09,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1751,1751-01-09,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1751,1751-01-11,Gysbreght van Aemstel,"Vondel, Joost van den"
1751,1751-01-11,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1751,1751-01-11,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1751,1751-01-16,De Mode,"Bernagie, Pieter"
1751,1751-01-16,"Krelis Louwen, of Alexander de Groote op het poëetemaal","Langendijk, Pieter"
1751,1751-01-18,"Aarnout en Adolf van Egmond, hertogen van Gelder. Treurspel","Bruin, Claas"
1751,1751-01-23,"Phocion, treurspel","Bogaert, Abraham"
1751,1751-01-25,Het wederzyds huwelyks bedrog. Blyspél,"Langendijk, Pieter"
1751,1751-01-30,Admetus en Alcestis,"Nuyts, Pieter"
1751,1751-02-01,Le Distrait,"Regnard, Jean François"
1751,1751-02-06,"Britannicus, tragédie","Racine, Jean"
1751,1751-02-08,Le Cid. Tragi-comedie.,"Corneille, Pierre"
1751,1751-02-13,"Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1751,1751-02-15,"Le philosophe marié, ou Le mary honteux de l'être. Comédie","Destouches, (ps. Philippe Néricault)"
1751,1751-02-20,"Scipion l'Africain, tragédie","Pradon, Nicolas"
1751,1751-02-22,"Dom Cesar d'Avalos, comédie","Corneille, Thomas"
1751,1751-03-01,L'amour tirannique,"Scudéry, Georges de"
1751,1751-03-08,"Esther, tragédie","Racine, Jean"
1751,1751-03-13,"Esther, tragédie","Racine, Jean"
1751,1751-03-15,"Esther, tragédie","Racine, Jean"
1751,1751-03-20,"Esther, tragédie","Racine, Jean"
1751,1751-03-22,"Esther, tragédie","Racine, Jean"
1751,1751-03-27,"Astrate, roy de Tyr","Quinault, Philippe"
1751,1751-03-29,Le bourgeois gentilhomme,"Molière (ps. Poquelin, Jean Baptiste)"
1751,1751-04-01,"Heraclius, empereur d'Orient","Corneille, Pierre"
1751,1751-04-03,La mort de César [by Voltaire],Voltaire
1751,1751-04-05,Arlequin Sauvage,"La Font, Joseph de"
1751,1751-04-05,Arlequin Sauvage,"Delisle de La Drevetière, Louis François"
1751,1751-04-08,Cinna,"Corneille, Pierre"
1751,1751-04-10,Sémiramis,"Poisson, Madeleine Angélique (dame Gabriel de Gomez )"
1751,1751-04-13,La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751,1751-04-13,La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751,1751-04-15,"Sabinus et Éponine, tragédie","Richer, Henri"
1751,1751-04-17,Phedre et Hyppolite. Tragedie,"Racine, Jean"
1751,1751-04-19,Reinar después de morir,"Vélez de Guevara, Luis"
1751,1751-04-22,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1751,1751-04-26,Reinout in het betoverde hof; zynde het gevolg van Armida,"Pluimer, Joan"
1751,1751-04-29,"Karel, erfprins van Spanje. Treurspel","Bidloo, Govert"
1751,1751-05-03,Atree et Thyeste,"Crébillon, Prosper Jolyot de"
1751,1751-08-02,De dood van de graaven Egmond en Hoorne. Treurspel,"Asselijn, Thomas"
1751,1751-08-05,"Karel de Stoute, hartog van Bourgondie","Verhoek, Pieter"
1751,1751-08-07,"Scilla, treurspel","Rotgans, Lukas"
1751,1751-08-09,Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1751,1751-08-09,Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1751,1751-08-12,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der"
1751,1751-08-14,Polyxène,"La Fosse, Antoine de"
1751,1751-08-16,L’Étourdi ou les Contretemps,"Molière (ps. Poquelin, Jean Baptiste)"
1751,1751-08-19,Idomenée,"Crébillon, Prosper Jolyot de"
1751,1751-08-21,"Rodogune, princesse des Parthes","Corneille, Pierre"
1751,1751-08-23,l'Esprit follet,"Le Métel d'Ouville, Antoine"
1751,1751-08-23,La dama duende,"Calderón de la Barca, Pedro"
1751,1751-08-23,l'Esprit follet,"Le Métel d'Ouville, Antoine"
1751,1751-08-23,La dama duende,"Calderón de la Barca, Pedro"
1751,1751-08-26,La mort de César,"Barbier, Marie-Anne"
1751,1751-08-30,Le Cid. Tragi-comedie.,"Corneille, Pierre"
1751,1751-09-02,Électre,"Crébillon, Prosper Jolyot de"
1751,1751-09-06,"Konradyn, koning van Napels en Siciliën. Treurspel","Smids, Ludolph"
1751,1751-09-09,"Arzases, of 't Edelmoedig verraad, treurspel","Huydecoper, Balthasar"
1751,1751-09-11,"Géta, tragédie","Péchantré, Nicolas de"
1751,1751-09-11,"Géta, tragédie","Péchantré, Nicolas de"
1751,1751-09-13,De verwaande Hóllandsche Franschman. Blyspél,"Pels, Andries"
1751,1751-09-13,De verwaande Hóllandsche Franschman. Blyspél,Nil Volentibus Arduum group
1751,1751-09-16,"De deugdzame hoveling, treurspel","Bruin, Claas"
1751,1751-09-18,"Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1751,1751-09-20,"De toveryen van Armida, of het belegerde Jeruzalem, treurspel","Peys, Adriaen"
1751,1751-09-21,La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751,1751-09-21,La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751,1751-09-22,Don Quichot op de bruiloft van Kamácho; blyspel,"Langendijk, Pieter"
1751,1751-09-23,"Amphitryon, comédie","Molière (ps. Poquelin, Jean Baptiste)"
1751,1751-09-24,Coriolan: tragedie,"Abeille, Gaspard"
1751,1751-09-25,"Sophonisba, treurspel","Haps, Pieter Willem van"
1751,1751-09-27,Reinout in het betoverde hof; zynde het gevolg van Armida,"Pluimer, Joan"
1751,1751-09-28,"Genevieve, ou l'Innocence reconnue","d'Aure, Francois"
1751,1751-09-29,La gitanilla de Madrid,"Cervantes y Saavedra, Miguel de"
1751,1751-09-30,Reinar después de morir,"Vélez de Guevara, Luis"
1751,1751-10-01,"Le grand Tamerlan et Bajazet, tragedie","Magnon, Jean"
1751,1751-10-01,La nueva ira de Dios y Tamerlán de Persia,"Vélez de Guevara, Luis"
1751,1751-10-02,Agamemnon. Tragedie,"Boyer, Claude"
1751,1751-10-04,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-07,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-09,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-11,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-14,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-16,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-18,Beleg en ontset der stadt Leyden,"Bondt, Reinier de"
1751,1751-10-21,El tejedor de Segovia,"Ruiz de Alarcón y Mendoza, Juan"
1751,1751-10-23,Sertorius,"Corneille, Pierre"
1751,1751-11-15,Het gewaande bloedverwantschap; blyspel,"Wandelaar, Jan"
1751,1751-11-20,Amasis. Tragedie,"Lagrange Chancel, François Joseph de"
1751,1751-11-22,"De dood van Johan en Garcias, of De onzydige regtspleeging van Cosmos de Medicis, groothertog van Toscanen. Treurspel","Bruin, Claas"
1751,1751-11-27,De Mode,"Bernagie, Pieter"
1751,1751-11-29,"Antipater, of De dood van Alexander en Aristobulus. Treurspel","Heems, Abraham"
1751,1751-12-04,"Cato, a Tragedy","Addison, Joseph"
1751,1751-12-04,"Cato, a Tragedy","Addison, Joseph"
1751,1751-12-06,Le joueur,"Regnard, Jean François"
1751,1751-12-11,"Jacoba van Beieren, gravin van Holland en Zeeland. Treurspel","Marre, Jan de"
1751,1751-12-13,Le Menteur,"Corneille, Pierre"
1751,1751-12-18,"La Mort de Pompée, tragédie","Corneille, Pierre"
1751,1751-12-20,Gysbreght van Aemstel,"Vondel, Joost van den"
1751,1751-12-20,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1751,1751-12-20,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1751,1751-12-27,Gysbreght van Aemstel,"Vondel, Joost van den"
1751,1751-12-27,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1751,1751-12-27,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1752,1752-01-03,Gysbreght van Aemstel,"Vondel, Joost van den"
