id,date,year,title,production,works,genre,place,author
3912,1776-01-30T23:59:32Z,1776,Il geloso in cimento,[object Object],[object Object],Dramma giocoso per musica,Hofteatret/Christiansborg Court Theatre,"Pasquale Anfossi,Giovanni Bertati"
3913,1776-02-06T23:59:32Z,1776,Il geloso in cimento,[object Object],[object Object],Dramma giocoso per musica,Hofteatret/Christiansborg Court Theatre,"Pasquale Anfossi,Giovanni Bertati"
3914,1776-04-23T23:59:32Z,1776,Il geloso in cimento,[object Object],[object Object],Dramma giocoso per musica,Hofteatret/Christiansborg Court Theatre,"Pasquale Anfossi,Giovanni Bertati"
3915,1768-10-26T23:59:32Z,1768,La Schiava riconosciuta,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv",Niccolò Piccinni
3916,1768-11-30T23:59:32Z,1768,La Schiava riconosciuta,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv",Niccolò Piccinni
3917,1776-03-05T23:59:32Z,1776,La Schiava riconosciuta,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv",Niccolò Piccinni
3918,1776-03-12T23:59:32Z,1776,La Schiava riconosciuta,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv",Niccolò Piccinni
3919,1776-03-19T23:59:32Z,1776,La Schiava riconosciuta,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv",Niccolò Piccinni
3920,1776-04-09T23:59:32Z,1776,La Schiava riconosciuta,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv",Niccolò Piccinni
3921,1773-11-19T23:59:32Z,1773,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3922,1773-11-26T23:59:32Z,1773,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3923,1773-12-03T23:59:32Z,1773,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3924,1773-12-10T23:59:32Z,1773,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3925,1773-12-20T23:59:32Z,1773,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
